ProductKey,ProductID,ProductName,ProductCategory,ProductSubcategory,Brand,UnitOfMeasure,PackSize,IsPrescriptionRequired,ShelfLifeDays,StorageRequirements
1,VET001,Amoxicillin 500mg,Antibiotics,Oral Antibiotics,VetPharm,Tablets,100 tablets,1,730,Room Temperature
2,VET002,Rimadyl 75mg,Pain Management,NSAIDs,Pfizer,Tablets,60 tablets,1,1095,Room Temperature
3,VET003,Frontline Plus,Parasiticides,Flea & Tick,Merial,Topical,3 doses,0,1095,Room Temperature
4,VET004,Hill's k/d,Therapeutic Diet,Kidney Care,Hill's,Kg,5 kg bag,0,730,Cool Dry Place
5,VET005,Metacam 5mg,Pain Management,NSAIDs,Boehringer,Oral Suspension,100ml,1,1095,Room Temperature
6,VET006,Drontal Plus,Parasiticides,Dewormer,Bayer,Tablets,50 tablets,0,1095,Room Temperature
7,VET007,Advantage II,Parasiticides,Flea Control,Bayer,Topical,4 doses,0,1095,Room Temperature
8,VET008,Royal Canin Urinary,Therapeutic Diet,Urinary Care,Royal Canin,Kg,8 kg bag,0,730,Cool Dry Place
9,VET009,Vetmedin 5mg,Cardiology,Heart Medication,Boehringer,Chewable,50 tablets,1,730,Room Temperature
10,VET010,Cosequin DS,Supplements,Joint Care,Nutramax,Capsules,132 capsules,0,1095,Cool Dry Place
11,VET011,Prednisone 10mg,Steroids,Anti-inflammatory,Generic,Tablets,100 tablets,1,1095,Room Temperature
12,VET012,Sentinel Spectrum,Parasiticides,Heartworm Prevention,Elanco,Chewable,6 doses,1,1095,Room Temperature
13,VET013,ProPlan Veterinary Diet,Therapeutic Diet,Gastrointestinal,Purina,Kg,7.5 kg bag,0,730,Cool Dry Place
14,VET014,Cerenia 60mg,Anti-nausea,Motion Sickness,Pfizer,Tablets,30 tablets,1,730,Room Temperature
15,VET015,Adequan Canine,Arthritis,Joint Injection,American Regent,Injection,5ml vial,1,1095,Refrigerated